LOSS,LEARNING_RATE,MOMENTUM,NEURON_COUNT,HIT,TOTAL,EPOCH,FEATURE_COUNT,increased_binding_protein_totals,increased_binding_protein_hits,decreased_binding_protein_totals,decreased_binding_protein_hits,negative_totals,negative_hits,primary_hypothyroid_totals,primary_hypothyroid_hits,compensated_hypothyroid_totals,compensated_hypothyroid_hits,secondary_hypothyroid_totals,secondary_hypothyroid_hits,replacement_therapy_totals,replacement_therapy_hits,underreplacement_totals,underreplacement_hits,overreplacement_totals,overreplacement_hits,discordant_totals,discordant_hit
2.423927569389343,0.0010000000000000002,0.0,8.0,373.9,2500.0,10.0,2.0,250.0,10.3,250.0,29.6,250.0,36.9,250.0,147.0,250.0,0.0,250.0,20.8,250.0,26.3,250.0,13.6,250.0,29.1,250.0,60.3
2.023251175880432,0.0010000000000000002,0.09999999999999999,8.0,578.1,2500.0,10.0,2.0,250.0,19.1,250.0,14.8,250.0,6.6,250.0,207.6,250.0,33.5,250.0,40.8,250.0,45.7,250.0,11.6,250.0,196.1,250.0,2.3
1.7752623200416564,0.0010000000000000002,0.19999999999999998,8.0,670.1,2500.0,10.0,2.0,250.0,38.3,250.0,24.0,250.0,29.1,250.0,238.0,250.0,30.3,250.0,22.2,250.0,39.0,250.0,25.4,250.0,221.8,250.0,2.0
1.8106964230537415,0.0010000000000000002,0.3,8.0,782.7,2500.0,10.0,2.0,250.0,42.4,250.0,9.5,250.0,43.1,250.0,233.3,250.0,70.6,250.0,25.3,250.0,66.7,250.0,39.2,250.0,216.7,250.0,35.9
1.488792848587036,0.0010000000000000002,0.39999999999999997,8.0,876.9,2500.0,10.0,2.0,250.0,30.6,250.0,13.7,250.0,64.0,250.0,224.7,250.0,74.8,250.0,48.6,250.0,140.1,250.0,52.7,250.0,194.4,250.0,33.3
1.9270925164222716,0.0010000000000000002,0.5,8.0,907.9,2500.0,10.0,2.0,250.0,38.1,250.0,17.5,250.0,58.3,250.0,219.9,250.0,67.4,250.0,79.2,250.0,129.8,250.0,70.9,250.0,189.0,250.0,37.8
1.5899482369422913,0.0010000000000000002,0.5999999999999999,8.0,961.4,2500.0,10.0,2.0,250.0,61.5,250.0,16.1,250.0,41.4,250.0,218.6,250.0,96.2,250.0,95.8,250.0,132.1,250.0,77.7,250.0,174.9,250.0,47.1
1.2953542470932007,0.0010000000000000002,0.7000000000000001,8.0,1074.3,2500.0,10.0,2.0,250.0,43.3,250.0,10.4,250.0,90.3,250.0,221.2,250.0,110.3,250.0,129.6,250.0,131.3,250.0,97.8,250.0,198.9,250.0,41.2
1.3822057247161865,0.0010000000000000002,0.7999999999999999,8.0,1089.5,2500.0,10.0,2.0,250.0,32.3,250.0,29.5,250.0,81.8,250.0,226.2,250.0,118.7,250.0,131.1,250.0,110.5,250.0,105.1,250.0,199.4,250.0,54.9
1.3770970582962037,0.0010000000000000002,0.9000000000000001,8.0,1143.9,2500.0,10.0,2.0,250.0,69.1,250.0,17.9,250.0,96.9,250.0,220.8,250.0,143.5,250.0,129.1,250.0,138.2,250.0,101.1,250.0,192.7,250.0,34.6
1.8362862944602967,0.0010000000000000002,0.0,32.0,621.7,2500.0,10.0,2.0,250.0,20.8,250.0,0.0,250.0,6.7,250.0,244.8,250.0,30.0,250.0,34.3,250.0,33.7,250.0,8.0,250.0,240.2,250.0,3.2
1.8569390058517456,0.0010000000000000002,0.09999999999999999,32.0,843.1,2500.0,10.0,2.0,250.0,44.4,250.0,11.4,250.0,25.3,250.0,233.7,250.0,77.8,250.0,114.4,250.0,56.6,250.0,23.1,250.0,232.6,250.0,23.8
1.458478319644928,0.0010000000000000002,0.19999999999999998,32.0,918.2,2500.0,10.0,2.0,250.0,52.5,250.0,3.5,250.0,41.4,250.0,222.9,250.0,97.0,250.0,109.5,250.0,131.4,250.0,36.1,250.0,191.3,250.0,32.6
1.601324987411499,0.0010000000000000002,0.3,32.0,988.6,2500.0,10.0,2.0,250.0,60.7,250.0,0.0,250.0,68.8,250.0,219.8,250.0,86.0,250.0,130.1,250.0,147.4,250.0,77.6,250.0,168.2,250.0,30.0
1.631636643409729,0.0010000000000000002,0.39999999999999997,32.0,1078.6,2500.0,10.0,2.0,250.0,71.9,250.0,12.8,250.0,75.0,250.0,219.2,250.0,122.0,250.0,127.4,250.0,117.9,250.0,97.5,250.0,185.6,250.0,49.3
1.362808895111084,0.0010000000000000002,0.5,32.0,1101.6,2500.0,10.0,2.0,250.0,105.0,250.0,6.6,250.0,54.4,250.0,222.7,250.0,129.0,250.0,124.5,250.0,123.4,250.0,103.2,250.0,186.7,250.0,46.1
1.3553426444530488,0.0010000000000000002,0.5999999999999999,32.0,1124.8,2500.0,10.0,2.0,250.0,76.7,250.0,21.2,250.0,78.4,250.0,226.2,250.0,126.0,250.0,122.6,250.0,117.8,250.0,116.2,250.0,199.2,250.0,40.5
1.2776119828224182,0.0010000000000000002,0.7000000000000001,32.0,1148.0,2500.0,10.0,2.0,250.0,51.8,250.0,52.8,250.0,76.7,250.0,228.0,250.0,128.1,250.0,120.1,250.0,137.9,250.0,126.7,250.0,190.8,250.0,35.1
1.396829754114151,0.0010000000000000002,0.7999999999999999,32.0,1155.3,2500.0,10.0,2.0,250.0,124.0,250.0,31.5,250.0,35.2,250.0,231.7,250.0,141.3,250.0,119.4,250.0,129.8,250.0,113.6,250.0,186.4,250.0,42.4
